token,frequency,pos
employee,9,NN
returns,9,NNS
tip,9,NN
hoped,9,VBD
wan,9,NN
aside,9,RB
tear,9,NN
rock,9,NN
spot,9,NN
process,9,NN
remove,9,VB
improved,9,VBN
aisles,9,NNS
pounds,9,NNS
trust,9,NN
future,9,NN
praying,9,VBG
mail,9,NN
lumps,9,NNS
secret,9,NN
movies,9,NNS
toys,9,NNS
continued,9,JJ
buckwheats,9,NNS
era,9,NN
lets,9,NNS
typical,9,JJ
michael,9,NN
letting,9,VBG
frosting,9,VBG
turtles,9,NNS
june,9,NN
colors,9,NNS
spongebob,9,NN
spiderman,9,NN
sleep,9,NN
solid,9,JJ
featured,9,VBN
manufactured,9,VBD
locally,9,RB
east,9,NN
invented,9,VBN
source,9,NN
creme,9,NN
holy,9,NN
rusket,9,NN
roasted,9,VBN
dallas,9,NNS
kellogs,9,NNS
meijer,9,NN
lightly,9,RB
spoonful,9,NN
strawberries,9,NNS
sigh,9,NN
gnf,9,NN
comparison,9,NN
resurrect,9,NN
vaguely,9,RB
manufacturers,9,NNS
coupon,9,NN
corny,9,NN
basis,9,NN
modern,9,JJ
kashi,9,NN
likely,9,JJ
march,9,NN
missouri,9,NN
farm,9,NN
match,9,NN
incredibly,9,RB
names,9,NNS
oldest,9,JJS
guarantee,9,NN
gladly,9,RB
reasonable,9,JJ
million,9,CD
cards,8,NNS
release,8,NN
profits,8,NNS
tart,8,NN
center,8,NN
unless,8,IN
proof,8,NN
flour,8,NN
option,8,NN
waffles,8,NNS
places,8,NNS
et,8,NN
foil,8,NN
buttered,8,VBN
oregon,8,NN
win,8,NN
standard,8,NN
raspberry,8,NN
cinnabon,8,NN
bucwheats,8,NNS
suggestion,8,NN
freakin,8,NN
allergies,8,NNS
covered,8,VBN
topping,8,VBG
md,8,NN
stated,8,VBN
remind,8,NN
hour,8,NN
lifetime,8,NN
warehouse,8,NN
concerned,8,JJ
distinctly,8,RB
control,8,NN
avoid,8,NN
society,8,NN
sunny,8,NN
sainsbury,8,NN
baked,8,VBN
eye,8,NN
packet,8,NN
weetabix,8,NN
africa,8,NN
identical,8,JJ
birthday,8,NN
break,8,NN
perfection,8,NN
reduced,8,VBN
impact,8,NN
snacking,8,VBG
kellog,8,NN
burst,8,NN
favourite,8,NN
wuz,8,NN
treasure,8,NN
enjoyable,8,JJ
dreaming,8,VBG
chew,8,NN
mill,8,NN
addition,8,NN
gawd,8,NN
afraid,8,NN
dearly,8,RB
wisconsin,8,NN
multiple,8,NN
vacation,8,NN
grand,8,JJ
vintage,8,NN
practically,8,RB
waking,8,VBG
doctor,8,NN
beats,8,NNS
regarding,8,VBG
zucaritas,8,NNS
dead,8,JJ
overly,8,RB
nerd,8,NN
rr,8,NN
coke,8,NN
earlier,8,RBR
ahead,8,RB
tree,8,NN
appreciated,8,VBN
makers,8,NNS
cause,8,NN
readily,8,RB
cares,8,NNS
poster,8,NN
considering,8,VBG
stomach,8,NN
remain,8,NN
santa,8,NN
arrowhead,8,NN
ghostbusters,8,NNS
bake,8,NN
magical,8,JJ
brite,8,NN
neither,8,DT
seventies,8,NNS
coconut,8,NN
raise,8,NN
corporate,8,JJ
increase,8,NN
suggest,8,NN
thus,8,RB
mutant,8,NN
packages,8,NNS
drizzle,8,NN
altogether,8,RB
linda,8,NN
contain,8,NN
desperately,8,RB
krave,8,VB
commented,8,VBN
wide,8,JJ
result,8,NN
brain,8,NN
retail,8,JJ
treasures,8,NNS
uses,8,NNS
angry,8,JJ
ghost,8,NN
pooh,8,NN
bye,8,NN
promoted,8,VBN
decide,8,NN
hurry,8,NN
pittsburgh,8,NN
married,8,JJ
retailers,8,NNS
comb,7,NN
imagined,7,VBN
attempt,7,NN
oil,7,NN
despite,7,IN
helmet,7,NN
leaves,7,NNS
various,7,JJ
shopped,7,VBD
wild,7,NN
soaked,7,VBN
peace,7,NN
common,7,JJ
gift,7,NN
fry,7,NN
pouring,7,VBG
rights,7,NNS
higher,7,JJR
outlet,7,NN
holds,7,VBZ
rules,7,NNS
overall,7,JJ
c,7,NNS
lonely,7,RB
games,7,NNS
waitrose,7,NN
heavenly,7,RB
suck,7,NN
chewy,7,NN
sharp,7,JJ
cross,7,NN
newer,7,NN
frequently,7,RB
visited,7,VBN
pettijohns,7,NN
vividly,7,RB
baltimore,7,NN
main,7,JJ
shoprite,7,NN
skinners,7,NNS
remake,7,NN
crust,7,NN
wic,7,NN
delighted,7,JJ
alike,7,RB
buttery,7,NN
maine,7,NN
loma,7,NN
locator,7,NN
benefits,7,NNS
seasonal,7,JJ
substitutes,7,NNS
coloring,7,VBG
ugh,7,IN
camp,7,NN
fellow,7,NN
bill,7,NN
mmmmm,7,NN
sending,7,VBG
prices,7,NNS
happens,7,NNS
requesting,7,VBG
deliciousness,7,NN
delightful,7,NN
rare,7,NN
recreate,7,NN
smelled,7,VBN
millions,7,NNS
la,7,NN
glow,7,NN
retired,7,VBN
sugared,7,VBN
understood,7,NN
otis,7,NN
bother,7,NN
smurfberry,7,NN
sample,7,NN
sticker,7,NN
styrofoam,7,NN
imagination,7,NN
permanently,7,RB
eggo,7,NN
hole,7,NN
dump,7,NN
disappearance,7,NN
sudden,7,JJ
occasional,7,JJ
rip,7,NN
satisfy,7,NN
os,7,NN
cancelled,7,VBN
silly,7,RB
multibran,7,NN
black,7,JJ
mixture,7,NN
hat,7,NN
prove,7,NN
pray,7,NN
works,7,NNS
soy,7,NN
closer,7,NN
showing,7,VBG
bears,7,NNS
additives,7,NNS
crossed,7,VBN
working,7,VBG
usual,7,JJ
non,7,NN
maker,7,NN
tears,7,NNS
crackers,7,NNS
answers,7,NNS
fridge,7,NN
keeping,7,VBG
failed,7,VBD
linus,7,NN
muffet,7,NN
breaks,7,NNS
kidding,7,VBG
choose,7,NN
formulation,7,NN
familiar,7,JJ
grab,7,NN
ends,7,NNS
miracle,7,NN
faves,7,NNS
holding,7,VBG
distinctive,7,NN
coast,7,NN
teens,7,NNS
cholesterol,7,NN
field,7,NN
unavailable,7,JJ
ps,7,NN
introducing,7,VBG
woke,7,NN
sounded,7,VBD
follow,7,VB
coffee,7,NN
chicken,7,NN
ball,7,NN
ordering,7,VBG
weak,7,JJ
concur,7,NN
eatting,7,VBG
brink,7,NN
aftertaste,7,NN
dye,7,NN
ya,7,NN
tiger,7,NN
photos,7,NNS
cook,7,NN
websites,7,NNS
clumps,7,NNS
ppr,7,NN
barbara,7,NN
cat,7,NN
massive,7,JJ
magically,7,RB
somehow,7,NN
fully,7,RB
wished,7,VBN
truckload,7,NN
license,7,NN
grow,7,NN
trick,7,NN
rocked,7,VBN
onto,7,IN
milkman,7,NN
jean,6,NN
john,6,NN
temporary,6,JJ
winnie,6,NN
newman,6,NN
pleasure,6,NN
bugs,6,NNS
opening,6,NN
tin,6,NN
lasting,6,VBG
paul,6,NN
complaining,6,VBG
loose,6,JJ
bottle,6,NN
dropping,6,VBG
exception,6,NN
boycott,6,NN
granddaughter,6,NN
jan,6,NN
replaces,6,NNS
balance,6,NN
puts,6,NNS
fewer,6,JJR
hospital,6,NN
spend,6,NN
self,6,NN
compete,6,NN
idiot,6,NN
floor,6,NN
pie,6,NN
grams,6,NNS
western,6,JJ
impression,6,NN
spoons,6,NNS
prepared,6,JJ
molasses,6,NNS
oak,6,NN
recollection,6,NN
returning,6,VBG
dust,6,NN
cracklin,6,NN
revive,6,NN
guessing,6,VBG
grabbed,6,NNS
manufacture,6,NN
alive,6,JJ
alright,6,NN
x,6,NN
juice,6,NN
settle,6,VB
sat,6,NN
supper,6,NN
population,6,NN
research,6,NN
nebraska,6,NN
hubby,6,NN
afternoon,6,NN
ways,6,NNS
frustrated,6,VBN
letters,6,NNS
clown,6,NN
ai,6,NN
mi,6,NN
board,6,NN
feature,6,NN
float,6,NN
germany,6,NN
whose,6,WP$
square,6,NN
convince,6,NN
malted,6,VBN
contest,6,NN
subject,6,NN
overseas,6,RB
eaters,6,NNS
biggest,6,JJS
malty,6,NN
sw,6,NN
hawaiian,6,JJ
relatively,6,RB
originally,6,RB
ashamed,6,VBN
bay,6,NN
sites,6,NNS
cruel,6,NN
row,6,NN
artwork,6,NN
improve,6,VB
e,6,NN
healthiest,6,NN
hook,6,NN
shreds,6,NNS
upon,6,IN
cranberries,6,NNS
mark,6,NN
girlfriend,6,NN
becoming,6,VBG
agreed,6,VBD
important,6,JJ
zone,6,NN
sized,6,VBN
baseball,6,NN
central,6,JJ
changes,6,NNS
aware,6,JJ
hang,6,NN
tennessee,6,NN
snaps,6,NNS
create,6,NN
politically,6,RB
sound,6,NN
minus,6,NN
bites,6,NNS
fear,6,NN
popularity,6,NN
expiration,6,NN
shocked,6,VBN
oj,6,NN
seconds,6,NNS
stir,6,NN
mum,6,NN
singing,6,VBG
rabbit,6,NN
switched,6,VBN
caused,6,VBN
killed,6,VBN
houston,6,NN
system,6,NN
trash,6,NN
munching,6,VBG
suggested,6,VBN
chose,6,NN
pennsylvania,6,NN
va,6,NN
spread,6,NN
collected,6,VBN
amazingly,6,RB
tesco,6,NN
flashback,6,NN
smile,6,NN
shreddies,6,NNS
ohhh,6,NN
resume,6,NN
david,6,NN
slices,6,NNS
decisions,6,NNS
giraffe,6,NN
eighties,6,NNS
relaunch,6,NN
sliced,6,VBN
premiums,6,NNS
combo,6,NN
distributed,6,VBN
appeal,6,NN
project,6,NN
grateful,6,NN
ounce,6,NN
breakfasts,6,NNS
az,6,NN
included,6,VBD
pain,6,NN
saved,6,VBN
specialty,6,NN
combs,6,NNS
apples,6,NNS
tmnt,6,NN
g,6,NN
flintstones,6,NNS
members,6,NNS
penalized,6,VBN
calorie,6,NN
october,6,NN
outside,6,IN
mo,6,NN
packed,6,NNS
odd,6,NN
hype,6,NN
rite,6,NN
lane,6,NN
rep,6,NN
withdrawals,6,NNS
film,6,NN
yep,6,NN
held,6,NN
regret,6,NN
resort,6,NN
eastern,6,JJ
memorable,6,JJ
unit,6,NN
soul,6,NN
holiday,6,NN
sainsburys,6,NN
tag,6,NN
mass,6,NN
withdrawal,6,NN
fairly,6,RB
insane,6,NN
dare,6,NN
profitable,6,JJ
chains,6,NNS
candle,6,NN
yearn,6,NN
types,6,NNS
passing,6,NN
pressure,6,NN
lead,6,NN
eliminating,6,VBG
charge,6,NN
responded,6,VBD
permanent,6,NN
def,6,NN
longing,6,NN
mystery,6,NN
remotely,6,RB
catch,6,NN
rarely,6,RB
ii,6,NN
vermont,6,NN
provided,6,VBN
macadamia,5,NN
bob,5,NN
kmart,5,NN
fructose,5,NN
inventory,5,NN
voting,5,NN
bitter,5,NN
exists,5,NNS
suppose,5,NN
depressed,5,JJ
tomato,5,NN
softer,5,NN
discontinuation,5,NN
scary,5,JJ
service,5,NN
guilty,5,JJ
goat,5,NN
yogi,5,NN
united,5,JJ
walmarts,5,NNS
phased,5,VBD
batch,5,NN
effect,5,NN
existence,5,NN
beautiful,5,NN
plan,5,NN
buyers,5,NNS
topped,5,NNS
correctly,5,RB
mapo,5,NN
loaf,5,NN
highest,5,JJS
woman,5,NN
pudding,5,VBG
unusual,5,JJ
reminisce,5,NN
advertisement,5,NN
creek,5,NN
nearest,5,JJS
happily,5,RB
forgive,5,JJ
suggestions,5,NNS
reappear,5,NN
feelings,5,NNS
wegmans,5,NNS
popcorn,5,NN
season,5,NN
magnet,5,NN
needless,5,NN
flax,5,NN
replied,5,VBD
additions,5,NNS
boomer,5,NN
computer,5,NN
busy,5,JJ
ditto,5,NN
midwest,5,NN
stood,5,NN
crappy,5,JJ
fried,5,VBN
snap,5,NN
lionhearted,5,VBN
forced,5,VBN
drove,5,NN
truck,5,NN
blasted,5,VBN
worry,5,NN
situation,5,NN
hence,5,NN
lighter,5,NN
wax,5,NN
incorrect,5,NN
contacting,5,VBG
paid,5,NN
brilliant,5,NN
brooklyn,5,NN
explain,5,NN
tease,5,NN
glazed,5,VBN
unfair,5,NN
met,5,NN
unfrosted,5,JJ
calcium,5,NN
thin,5,NN
excuse,5,NN
staff,5,NN
emphasis,5,NN
obesity,5,NN
collection,5,NN
recommended,5,VBN
doll,5,NN
shortly,5,RB
movement,5,NN
address,5,NN
midnight,5,NN
military,5,JJ
disgusted,5,VBN
punch,5,NN
lame,5,NN
hollow,5,NN
washington,5,NN
purchasing,5,NN
wrap,5,NN
genius,5,NN
mountain,5,NN
autistic,5,JJ
dull,5,NN
household,5,NN
aldi,5,NN
lament,5,NN
expected,5,VBN
reply,5,NN
consideration,5,NN
oz,5,NN
counter,5,NN
slice,5,NN
soak,5,NN
tough,5,JJ
imitation,5,NN
printed,5,VBN
dumb,5,NN
cars,5,NNS
collect,5,NN
ratio,5,NN
final,5,JJ
doctors,5,NNS
parts,5,NNS
sucked,5,VBN
wet,5,NN
anyways,5,NNS
advise,5,NN
click,5,NN
promoting,5,VBG
design,5,NN
shock,5,NN
island,5,NN
agency,5,NN
cups,5,NNS
gods,5,NNS
costs,5,NNS
meet,5,NN
net,5,NN
condition,5,NN
powder,5,NN
luckily,5,RB
clacker,5,NN
quacker,5,NN
london,5,NN
spoke,5,NN
awesomeness,5,NN
bedtime,5,NN
present,5,NN
pillow,5,NN
music,5,NN
enjoys,5,NNS
granted,5,VBN
arkansas,5,NNS
handle,5,NN
possibility,5,NN
pallet,5,NN
rugrats,5,NNS
james,5,NNS
television,5,NN
radio,5,NN
deserve,5,NN
louis,5,NN
images,5,NNS
addicting,5,VBG
safeway,5,NN
longest,5,JJS
neighborhood,5,NN
harvest,5,NN
medley,5,NN
roll,5,NN
mud,5,NN
responsible,5,JJ
club,5,NN
afford,5,NN
mike,5,NN
reduce,5,VB
chemical,5,NN
flying,5,VBG
specific,5,JJ
shiny,5,NN
record,5,NN
pan,5,NN
processed,5,VBN
yuk,5,NN
musical,5,JJ
evening,5,VBG
numerous,5,JJ
melted,5,VBN
imo,5,NN
maryland,5,NN
chunks,5,NNS
political,5,JJ
correctness,5,NN
ruin,5,NN
cooking,5,NN
gently,5,RB
wa,5,NN
periodically,5,RB
kindergarten,5,VB
stockpile,5,NN
edges,5,NNS
lovely,5,RB
fish,5,NN
revival,5,NN
vivid,5,NN
track,5,NN
government,5,NN
buffalo,5,NN
elephants,5,NNS
oklahoma,5,NN
promo,5,NN
load,5,NN
battle,5,NN
sc,5,NN
jump,5,NN
killer,5,NN
sunday,5,NN
iowa,5,NN
idaho,5,NN
chewing,5,VBG
quest,5,NN
whatsoever,5,NN
equivalent,5,NN
minds,5,NNS
freezer,5,NN
art,5,NN
manager,5,NN
rotten,5,VB
death,5,NN
bananas,5,NNS
paying,5,VBG
oven,5,RB
select,5,NN
ages,5,NNS
risk,5,NN
heb,5,NN
reproduce,5,NN
cancer,5,NN
lord,5,NN
led,5,VBN
ought,5,MD
almighty,5,NN
farina,5,NN
asks,5,NNS
egg,5,NN
surprisingly,5,RB
crunchier,5,NN
j,4,NN
northern,4,JJ
nests,4,NNS
boston,4,NN
owns,4,VBZ
teachers,4,NNS
tho,4,NN
joes,4,NNS
bonus,4,NN
sons,4,NNS
listened,4,VBN
kicks,4,NNS
earliest,4,JJS
network,4,NN
hotel,4,NN
posts,4,NNS
waffleos,4,NN
quangaroos,4,NN
tablespoons,4,NNS
sharing,4,VBG
president,4,NN
beans,4,NNS
pictured,4,VBN
wrapped,4,VBD
english,4,JJ
claims,4,NNS
matched,4,VBN
freak,4,NN
utah,4,NN
circa,4,NN
echo,4,NN
naturally,4,RB
razzle,4,NN
rotation,4,NN
trips,4,NNS
devoured,4,VBN
dazzle,4,NN
spotted,4,VBN
olympics,4,NNS
chair,4,NN
lbs,4,NN
survive,4,NN
ornament,4,NN
wikipedia,4,NN
neat,4,NN
senior,4,JJ
menu,4,NN
score,4,NN
hawaii,4,NN
twenties,4,NNS
craze,4,NN
subtle,4,NN
developed,4,NN
forty,4,NN
nutrients,4,NNS
faded,4,VBD
ga,4,NN
lacked,4,VBN
squarepants,4,NNS
books,4,NNS
nom,4,NN
thru,4,NN
creamy,4,NN
vons,4,NNS
normal,4,JJ
volume,4,NN
conversation,4,NN
fortune,4,NN
suffering,4,VBG
ick,4,NN
priced,4,VBN
canadians,4,NNS
brans,4,NNS
driving,4,VBG
availability,4,NN
zip,4,NN
stops,4,NNS
push,4,NN
managed,4,VBN
beach,4,NN
restock,4,NN
satisfaction,4,NN
stack,4,NN
morenings,4,NNS
brief,4,NN
math,4,NN
antonio,4,NN
incarnation,4,NN
bagged,4,VBN
heat,4,NN
assumed,4,VBN
plump,4,NN
denver,4,NN
zoom,4,NN
begged,4,VBN
normally,4,RB
differently,4,RB
laughs,4,NNS
recognize,4,VB
excitement,4,NN
ah,4,NN
fillings,4,NNS
atlanta,4,NN
favored,4,VBN
suspect,4,NN
sing,4,VBG
blew,4,NN
grapes,4,NNS
ingles,4,NNS
l,4,NN
traditional,4,JJ
description,4,NN
hearing,4,NN
respond,4,NN
wolf,4,NN
sandwich,4,NN
h,4,NN
connecticut,4,NN
grapenut,4,NN
lacking,4,VBG
key,4,NN
corner,4,NN
intake,4,NN
illinois,4,NN
equal,4,JJ
sue,4,NN
slap,4,NN
longed,4,VBN
gutted,4,VBN
scotland,4,NN
closed,4,VBD
bunny,4,NN
rag,4,NN
aged,4,VBN
heap,4,NN
british,4,JJ
greatness,4,NN
nose,4,RB
deprived,4,VBN
january,4,NN
lies,4,NNS
sealed,4,VBN
rule,4,NN
voiced,4,NNS
crystals,4,NNS
glass,4,NN
alternatives,4,NNS
gmail,4,NN
dot,4,NN
raspberries,4,NNS
killing,4,VBG
powdery,4,NN
damaged,4,VBN
spy,4,NN
grandmas,4,NN
yucky,4,NN
easter,4,NN
appearance,4,NN
shown,4,VBN
novelty,4,NN
fifty,4,NN
gravel,4,NN
horse,4,NN
busters,4,NNS
specifically,4,RB
thoroughly,4,RB
fad,4,NN
mixes,4,NNS
level,4,NN
outstanding,4,JJ
oddly,4,RB
closet,4,NN
planning,4,NN
safe,4,JJ
reaction,4,NN
koo,4,NN
peach,4,NN
dozen,4,NN
obtain,4,VB
muffins,4,NNS
parent,4,NN
church,4,NN
placed,4,VBN
ear,4,NN
lousy,4,NN
separate,4,JJ
bht,4,NN
posting,4,VBG
aging,4,VBG
costly,4,JJ
toasty,4,NN
encourage,4,NN
icon,4,NN
surgery,4,NN
sprinkling,4,VBG
dietary,4,JJ
consists,4,NNS
fiance,4,NN
ahhh,4,NN
billions,4,NNS
delectable,4,JJ
tempted,4,VBN
contains,4,NNS
craves,4,NNS
boost,4,NN
alot,4,NN
enter,4,NN
respect,4,NN
men,4,NNS
effort,4,NN
ditch,4,NN
ignore,4,NN
lesson,4,NN
locking,4,VBG
spout,4,NN
drew,4,NN
ceo,4,NN
briefly,4,NN
office,4,NN
strangely,4,RB
february,4,JJ
negative,4,JJ
episode,4,NN
bakery,4,NN
sizes,4,NNS
trend,4,NN
mouse,4,NN
sight,4,NN
sides,4,NNS
commentators,4,NNS
untimely,4,RB
tastier,4,NN
champs,4,NNS
reads,4,NNS
joke,4,NN
crime,4,NN
theory,4,NN
believed,4,VBN
street,4,NN
diane,4,NN
entirely,4,RB
minnesota,4,NN
shall,4,MD
meijers,4,NNS
stopping,4,VBG
relatives,4,NNS
anyplace,4,NN
vain,4,NN
yay,4,NN
complaint,4,NN
gem,4,NN
studies,4,NNS
inferior,4,NN
finger,4,NN
land,4,NN
sogginess,4,NN
neighbor,4,NN
pleeeeease,4,NN
gallon,4,NN
da,4,NN
thousands,4,NNS
saving,4,VBG
roar,4,NN
staying,4,VBG
drinking,4,NN
promotional,4,JJ
senses,4,NNS
ol,4,NN
minis,4,NN
jimmy,4,NN
hail,4,NN
refused,4,VBD
animals,4,NNS
slogan,4,NN
turning,4,VBG
navy,4,NNS
apart,4,RB
amazed,4,VBN
critter,4,NN
george,4,NN
expect,4,VB
hometown,4,NN
refrigerator,4,NN
resembled,4,VBN
orlando,4,NN
gf,4,NN
lasts,4,NNS
circus,4,NN
huh,4,NN
coolest,4,NN
heh,4,NN
feels,4,NNS
pine,4,NN
isles,4,NNS
diets,4,NNS
albertson,4,NN
cabin,4,NN
warning,4,VBG
inches,4,NNS
thick,4,NN
floating,4,VBG
commissary,4,NN
via,4,IN
informed,4,VBN
aka,4,NN
exclusively,4,RB
discount,4,NN
nationwide,4,JJ
dated,4,VBN
speak,4,NN
hurting,4,VBG
fruits,4,NNS
dipped,4,NN
spice,4,NN
choked,4,NNS
ne,4,NN
plainview,4,NN
mitch,4,NN
dehydrated,4,VBN
cherrios,4,NNS
cash,4,NN
imported,4,VBN
thee,4,NN
hay,4,NN
demise,4,NN
crackle,4,NN
understanding,4,VBG
competitors,4,NNS
freeze,4,NN
program,4,NN
georgia,4,NN
smiles,4,NNS
wi,4,NN
expecting,4,VBG
pleas,4,NNS
beaver,4,NN
waited,4,VBD
nintendo,4,NN
bank,4,NN
unchanged,4,JJ
ring,4,NN
flavorless,4,NN
penny,4,NN
torn,4,NN
duck,4,NN
frute,4,NN
ride,4,NN
holidays,4,NNS
ie,4,NN
profile,4,NN
booberry,4,NN
sooooooo,4,NN
gas,4,NN
complained,4,VBD
buns,4,NNS
claim,4,NN
singer,4,NN
flash,4,NN
human,4,NN
dude,4,NN
meantime,4,NN
purina,4,NN
park,4,NN
scrumptious,4,JJ
thankfully,4,RB
hershey,4,NN
sooner,4,NN
vol,4,NN
error,4,NN
scared,4,VBN
updated,4,VBN
fondest,4,JJS
relive,4,NN
commenters,4,NNS
honest,4,NN
seattle,4,NN
refuses,4,NNS
calories,4,NNS
flooding,4,VBG
groceries,4,NNS
crackos,4,NN
thrown,4,NN
fake,4,NN
dig,4,NN
masks,4,NNS
aimed,4,VBN
channel,4,NNS
firm,4,NN
phenomenal,4,NN
everytime,4,NN
ignored,4,VBN
choc,4,NN
attack,4,NN
bup,4,NN
stunned,4,VBN
slight,4,NN
reference,4,NN
dont,4,NN
display,4,NN
packs,4,NNS
rocket,4,NN
log,4,NN
cocaine,4,NN
breath,4,NN
mouths,4,NNS
bothered,4,VBN
teased,4,VBN
krogers,4,NNS
bored,4,VBN
simpler,4,NN
foreign,4,JJ
diagnosed,4,VBN
moving,4,VBG
reappeared,4,VBN
currency,4,NN
charm,3,NN
alabama,3,NN
frozen,3,NNS
inner,3,NN
powers,3,NNS
picking,3,VBG
mickey,3,NN
stuffed,3,NN
capable,3,JJ
leprechaun,3,NN
seemingly,3,RB
sparingly,3,RB
waxed,3,NN
blech,3,NN
chuck,3,NN
wafers,3,NNS
saddened,3,VBN
happiness,3,NN
hfcs,3,NN
baaack,3,NN
twin,3,NN
legitimately,3,RB
routine,3,NN
kernels,3,NNS
connected,3,VBN
failure,3,NN
selves,3,NNS
randomly,3,RB
crown,3,NN
healthful,3,NN
struggling,3,VBG
obscure,3,NN
rainbows,3,NNS
blow,3,NN
rude,3,NN
scratch,3,NN
wore,3,NN
settled,3,VBN
throwback,3,NN
material,3,NN
wont,3,NN
officially,3,RB
player,3,NN
cousins,3,NNS
confirm,3,NN
rolled,3,VBN
wherever,3,NN
countries,3,NNS
fits,3,NNS
sawdust,3,NN
ur,3,NN
leftover,3,NN
mask,3,NN
ironically,3,RB
disappears,3,NNS
habit,3,NN
branding,3,NN
competitor,3,NN
variation,3,NN
bandwagon,3,NN
rethink,3,NN
fame,3,NN
junior,3,NN
spending,3,NN
nyc,3,NN
fashioned,3,VBN
rico,3,NN
connection,3,NN
puerto,3,NN
tune,3,NN
cent,3,NN
fourth,3,JJ
gum,3,NN
friendly,3,RB
rebranded,3,VBN
stain,3,NN
foot,3,NN
stored,3,VBN
jelly,3,RB
moss,3,NN
boss,3,NN
pretend,3,NN
skim,3,NN
shared,3,VBN
emails,3,NNS
plane,3,NN
wafer,3,NN
moonstone,3,NN
wendell,3,NN
digestive,3,NN
catchy,3,NN
potential,3,JJ
iga,3,NN
ct,3,NN
spoken,3,NN
inhale,3,NN
boiling,3,VBG
occasions,3,NNS
squeeze,3,NN
mascots,3,NNS
idiots,3,NNS
wise,3,NN
cheese,3,NN
savory,3,NN
conscience,3,NN
ex,3,NN
sandy,3,NN
rubber,3,NN
toasts,3,NNS
pellets,3,NNS
stockpiled,3,VBN
bowlful,3,NN
animal,3,NN
spicy,3,NN
ms,3,NN
wiped,3,VBD
flat,3,JJ
dave,3,NN
harris,3,NN
devoted,3,VBN
magazine,3,NN
shoppers,3,NNS
plays,3,NNS
ounces,3,NNS
jumbo,3,NN
teeter,3,NN
starts,3,NNS
cater,3,NN
awe,3,NN
arizona,3,NN
warren,3,NNS
sugars,3,NNS
ooze,3,NN
krispie,3,NN
homer,3,NN
study,3,NN
tells,3,NNS
intention,3,NN
ranks,3,NNS
widely,3,RB
mucho,3,NN
munch,3,NN
pricey,3,NN
worlds,3,NNS
comforting,3,VBG
creative,3,JJ
tang,3,NN
raw,3,NN
bird,3,NN
mister,3,NN
cigarettes,3,NNS
wee,3,NN
inch,3,NN
deny,3,NN
pee,3,NN
struck,3,NN
sleeves,3,NNS
garage,3,NN
golean,3,NN
runs,3,NNS
meyer,3,NN
giggles,3,NNS
batman,3,NN
tim,3,NN
pro,3,NNS
frills,3,NNS
view,3,NN
beginning,3,VBG
executive,3,NN
nieces,3,NNS
truth,3,NN
third,3,JJ
durante,3,NN
options,3,NNS
pound,3,NN
ceral,3,JJ
faster,3,NN
pam,3,NN
poo,3,NN
marie,3,NN
originals,3,NNS
adore,3,NN
cared,3,VBN
lady,3,NN
norfolk,3,NN
crisps,3,NN
yr,3,NN
reformulated,3,VBN
cape,3,NN
gun,3,NN
pencil,3,NN
economics,3,NNS
delivery,3,NN
chattanooga,3,NN
japan,3,NN
essentially,3,RB
mars,3,NNS
directions,3,NNS
legit,3,NN
report,3,NN
featuring,3,VBG
sweetening,3,VBG
authentic,3,JJ
promised,3,VBN
bare,3,NN
tolerate,3,NN
walking,3,VBG
mmm,3,NN
nail,3,NN
act,3,NN
buys,3,NNS
conglomerate,3,NN
testing,3,VBG
packets,3,NNS
symptoms,3,NNS
resembles,3,NNS
distribute,3,NN
direct,3,JJ
sperry,3,NN
managers,3,NNS
agent,3,NN
winco,3,NN
gang,3,NN
cabinet,3,NN
slow,3,VB
lazy,3,NN
meals,3,NNS
mouthful,3,NN
nestles,3,NNS
dolls,3,NNS
worthington,3,NN
mn,3,NN
utterly,3,RB
amazement,3,NN
folk,3,NN
axe,3,NN
millville,3,NN
hunted,3,VBN
minerals,3,NNS
origin,3,NN
pun,3,NN
axed,3,NN
frustrating,3,VBG
mourn,3,NN
offering,3,NN
racist,3,NN
delicate,3,NN
heats,3,NNS
keith,3,NN
proud,3,NN
messed,3,VBN
replacing,3,VBG
sis,3,NN
tries,3,NNS
melt,3,NN
delivered,3,VBN
logo,3,NN
fanatic,3,JJ
trial,3,NN
nights,3,NNS
hologram,3,NN
com,3,NN
toucan,3,JJ
advised,3,VBN
flew,3,NN
sneak,3,NN
private,3,JJ
futurama,3,NN
fired,3,VBN
hilarious,3,JJ
misery,3,NN
kixx,3,NN
pizza,3,NN
humanity,3,NN
frootloops,3,NNS
farmer,3,NN
creations,3,NNS
deer,3,NN
matt,3,NN
hiding,3,NN
rolling,3,VBG
savoring,3,VBG
microwave,3,NN
eliminate,3,NN
toward,3,IN
deep,3,NN
melbourne,3,NN
unhappy,3,JJ
complex,3,JJ
shirley,3,NN
smooth,3,NN
dirt,3,NN
rose,3,VBD
resemble,3,JJ
revisit,3,NN
grapenuts,3,NNS
reasons,3,NNS
yesteryear,3,NN
requirement,3,NN
experts,3,NNS
warmed,3,VBN
tremendously,3,RB
providing,3,VBG
carnation,3,NN
whereas,3,NNS
dandy,3,NN
keen,3,NN
pep,3,NN
budget,3,NN
followed,3,VBD
burnt,3,NN
submitted,3,VBN
scan,3,JJ
louisiana,3,NN
choking,3,VBG
mainly,3,RB
